attr_value,b_sage_cover,b_shrub_cover,b_forb_cover_arid,b_forb_cover_mesic,b_forb_rich_arid,b_forb_rich_mesic,s_forb_cover_arid,s_forb_cover_mesic,s_forb_cover_meadow,s_forb_rich_arid,s_forb_rich_mesic,s_grass_cover_arid,s_grass_cover_mesic,s_grass_cover_meadow,w_sage_height_big,w_sage_height_low,w_sage_cover_big,w_sage_cover_low,brotec_cover,s_dist_sage_altered,s_dist_sage_unaltered
82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.926674,1
83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.923341,1
84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.920008,1
85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.916675,1
86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.913342,1
87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.910009,1
88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.906676,1
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.903343,1
90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.90001,1
91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.896677,1
92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.893344,1
93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.890011,1
94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.886678,1
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.883345,1
96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.880012,1
97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.876679,1
98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.873346,1
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.870013,1
100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.86668,1
101,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.863347,1
102,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.860014,1
103,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.856681,1
104,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.853348,1
105,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.850015,1
106,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.846682,1
107,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.843349,1
108,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.840016,1
109,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.836683,1
110,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.83335,1
111,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.830017,1
112,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.826684,1
113,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.823351,1
114,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.820018,1
115,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.816685,1
116,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.813352,1
117,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.810019,1
118,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.806686,1
119,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.803353,1
120,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.80002,1
121,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.796687,1
122,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.793354,1
123,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.790021,1
124,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.786688,1
125,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.783355,1
126,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.780022,1
